,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24
201,37,1,19,0,1,1,3,3,3,3,5,5,5,13,13,13,13,13,19,19,19,19,19
202,42,9,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203,42,20,54,0,0,2,2,2,2,5,24,24,27,27,32,33,34,37,46,46,53,54,54
204,42,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
205,42,36,22,0,2,3,3,3,3,6,6,7,7,7,7,7,10,10,16,18,22,22,22
206,42,44,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
207,42,60,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
208,42,66,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209,42,71,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3
210,43,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,43,34,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,43,40,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
213,43,51,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
214,43,55,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
215,43,62,6,0,0,0,0,0,0,0,0,1,4,6,6,6,6,6,6,6,6,6,6
216,43,64,50,0,0,1,2,2,7,25,28,36,50,50,50,50,50,50,50,50,50,50,50
217,43,70,13,0,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
218,44,4,15,1,1,12,12,12,12,13,13,13,13,13,15,15,15,15,15,15,15,15,15
219,44,6,11,2,2,4,4,4,4,4,4,4,5,8,10,10,10,10,10,10,11,11,11
220,44,12,19,0,3,4,4,4,6,8,9,9,15,16,19,19,19,19,19,19,19,19,19
221,44,14,8,0,0,2,3,3,3,3,3,3,3,3,3,4,4,7,8,8,8,8,8
222,44,18,23,0,0,0,0,1,1,1,16,16,19,19,23,23,23,23,23,23,23,23,23
223,44,19,4,0,0,0,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4
224,44,21,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
225,44,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,8,8,8
226,44,23,8,0,0,2,2,3,3,4,4,4,4,4,4,4,4,4,4,8,8,8,8
227,44,30,2,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
228,44,36,10,0,0,1,1,4,4,4,4,4,4,7,7,7,7,7,7,10,10,10,10
229,44,42,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
230,44,43,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
231,44,46,51,6,11,13,13,22,23,26,33,33,35,38,38,38,39,40,40,47,51,51,51
232,44,50,13,0,0,0,0,0,0,0,0,0,8,9,13,13,13,13,13,13,13,13,13
233,44,60,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4
234,44,64,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4
235,44,65,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,44,71,8,0,1,1,2,4,5,6,6,6,6,6,7,7,7,8,8,8,8,8,8
237,45,9,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
238,45,50,3,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3
239,45,65,6,0,0,0,0,0,2,3,3,3,3,6,6,6,6,6,6,6,6,6,6
240,46,6,7,0,0,0,0,0,0,1,1,1,1,3,4,5,5,5,6,6,7,7,7
241,46,14,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3
242,46,20,10,1,2,3,3,3,3,3,8,9,9,9,9,9,9,9,10,10,10,10,10
243,46,23,2,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
244,46,30,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
245,46,32,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
246,46,36,11,0,1,1,1,3,3,6,6,6,6,6,6,7,7,7,11,11,11,11,11
247,46,43,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,5,5
248,46,44,62,2,8,14,15,24,25,29,44,44,48,50,50,50,51,52,54,61,62,62,62
249,46,71,15,0,2,2,4,6,8,8,8,10,10,14,14,14,15,15,15,15,15,15,15
250,46,77,3,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
251,47,6,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
252,47,74,5,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
253,48,15,38,0,0,0,1,11,19,28,28,28,28,31,33,35,36,38,38,38,38,38,38
254,48,18,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
255,50,22,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
256,50,44,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
257,50,47,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
258,51,12,12,0,0,5,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
259,51,35,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
260,51,55,11,0,4,7,8,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11
261,51,67,25,0,4,4,8,13,15,15,19,25,25,25,25,25,25,25,25,25,25,25,25
262,52,4,3,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
263,52,7,499,0,69,189,279,347,384,412,438,466,494,499,499,499,499,499,499,499,499,499,499
264,52,9,48,0,17,37,37,39,44,47,47,47,48,48,48,48,48,48,48,48,48,48,48
265,52,21,4,0,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
266,52,24,4,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4
267,52,31,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
268,52,44,11,0,0,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
269,52,57,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270,52,58,2,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
271,54,32,4,0,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
272,54,40,2,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
273,54,62,6,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
274,54,68,7,0,0,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
275,54,70,7,0,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
276,55,7,112,0,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
277,55,9,17,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
278,55,12,281,0,0,26,44,111,136,173,210,225,235,253,255,274,281,281,281,281,281,281,281
279,55,21,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
280,55,25,14,0,0,0,4,5,5,8,11,13,13,14,14,14,14,14,14,14,14,14,14
281,55,28,24,0,0,2,6,14,15,18,18,18,18,24,24,24,24,24,24,24,24,24,24
282,55,47,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
283,55,51,18,0,0,3,3,6,6,6,6,7,8,11,13,17,17,18,18,18,18,18,18
284,56,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
285,56,24,5,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,5,5,5,5
286,56,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4
287,56,33,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8,8,8,8
288,56,58,6,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,5,6,6,6,6
289,57,2,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14
290,57,21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
291,57,31,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2
292,57,52,95,0,0,10,37,37,37,37,37,37,95,95,95,95,95,95,95,95,95,95,95
293,58,4,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
294,58,24,1228,7,72,136,136,208,262,315,538,600,668,783,848,898,1189,1193,1205,1213,1217,1228,1228
295,58,31,10,0,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
296,58,33,2,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
297,58,56,19,0,0,0,0,0,0,0,0,0,0,0,12,12,19,19,19,19,19,19,19
298,59,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
299,59,23,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
300,59,32,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4
301,59,38,6,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,6,6,6,6,6
302,59,40,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4
303,59,45,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9
304,59,52,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
305,59,62,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
306,59,65,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
307,59,68,8,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8,8,8,8,8
308,59,76,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
309,60,12,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
310,60,30,36,0,0,0,0,0,26,26,26,29,29,31,31,36,36,36,36,36,36,36,36
311,60,42,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
312,60,44,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,6,6
313,60,67,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3
314,61,1,3526,4,327,921,1296,1396,1638,1935,2112,2277,2399,2568,2763,2839,2982,3103,3196,3295,3403,3480,3526
315,61,37,3,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3
316,62,6,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
317,62,29,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
318,62,32,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
319,62,38,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
320,62,43,5,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,5,5,5,5,5
321,62,54,13,0,0,0,5,5,5,5,5,6,6,6,7,9,10,12,12,12,13,13,13
322,62,68,9,0,0,0,4,4,4,4,4,7,9,9,9,9,9,9,9,9,9,9,9
323,62,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
324,62,74,43,0,26,26,38,38,38,43,43,43,43,43,43,43,43,43,43,43,43,43,43
325,62,77,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
326,63,11,3,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
327,63,16,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3
328,63,21,40,0,0,0,2,7,10,12,16,18,21,28,30,38,38,40,40,40,40,40,40
329,63,24,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
330,63,56,3,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
331,64,32,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
332,64,43,43,0,0,1,2,2,7,14,14,28,39,39,43,43,43,43,43,43,43,43,43
333,64,44,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
334,66,9,7,0,0,0,0,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
335,66,35,7,0,0,3,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
336,67,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,67,6,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
338,67,15,26,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,15,15,15,23,24
339,67,18,7,0,0,0,3,3,3,5,5,5,5,5,5,5,5,6,6,6,6,7,7
340,67,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
341,67,28,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
342,67,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
343,67,47,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
344,67,50,3,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3
345,67,51,29,0,0,0,3,14,16,16,20,23,23,23,29,29,29,29,29,29,29,29,29
346,67,74,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7
347,67,77,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4
348,68,6,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
349,68,29,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,5,5,5,5
350,68,32,46,0,0,1,1,1,1,2,9,12,16,21,25,30,39,43,46,46,46,46,46
351,68,36,30,0,0,7,8,8,14,17,28,29,30,30,30,30,30,30,30,30,30,30,30
352,68,40,6,0,0,1,1,1,1,1,2,2,3,3,3,3,3,5,5,6,6,6,6
353,68,47,80,0,0,0,0,2,2,2,22,22,22,24,30,37,61,65,69,79,80,80,80
354,68,54,11,0,0,3,4,4,4,4,4,4,6,6,6,6,6,8,8,11,11,11,11
355,68,62,6,0,0,0,2,2,2,2,2,3,6,6,6,6,6,6,6,6,6,6,6
356,68,75,17,0,0,0,0,0,0,0,0,0,0,3,3,4,5,6,7,14,17,17,17
357,69,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
358,69,35,14,0,6,10,11,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14
359,69,52,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
360,70,8,46,0,3,14,16,20,20,22,26,35,42,42,43,43,43,43,43,43,46,46,46
361,70,43,11,0,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
362,70,54,30,0,6,12,12,12,12,12,12,12,22,22,24,24,27,28,28,30,30,30,30
363,71,18,5,0,0,0,0,0,0,0,0,1,1,4,5,5,5,5,5,5,5,5,5
364,71,20,4,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
365,71,30,14,0,1,1,2,2,3,3,3,3,4,5,5,5,5,5,5,5,12,14,14
366,71,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
367,71,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
368,71,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
369,71,44,10,0,1,1,3,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10
370,71,46,11,0,0,0,2,3,4,4,4,6,6,10,10,10,11,11,11,11,11,11,11
371,71,77,204,0,6,18,25,47,52,72,82,112,129,137,144,156,159,161,185,191,194,203,204
372,72,18,21,0,0,0,5,5,5,14,15,15,15,17,17,17,17,18,18,19,19,21,21
373,72,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,6
374,72,22,2,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2
375,72,23,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
376,72,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
377,72,65,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
378,72,78,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
379,74,47,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
380,75,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
381,75,68,18,0,0,0,0,0,0,0,0,0,0,2,3,6,7,7,8,16,18,18,18
382,76,29,14,0,0,0,0,0,0,0,0,13,14,14,14,14,14,14,14,14,14,14,14
383,76,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,8
384,76,59,6,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,6
385,76,77,83,0,0,0,0,0,0,0,0,50,56,63,72,72,76,76,78,78,83,83,83
386,77,29,7,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7
387,77,32,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
388,77,36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
389,77,40,3,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,3
390,77,41,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
391,77,46,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
392,77,52,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
393,77,62,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
394,77,71,80,0,0,0,0,0,0,0,5,24,37,47,56,72,77,80,80,80,80,80,80
395,77,76,51,0,0,0,0,0,0,0,0,36,37,41,50,51,51,51,51,51,51,51,51
396,79,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
397,79,23,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
398,79,32,5,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5
399,79,38,7,0,0,0,0,0,0,0,0,0,0,6,7,7,7,7,7,7,7,7,7
400,79,40,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4
401,79,45,12,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12
402,79,52,2,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2
403,79,62,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
404,79,65,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
405,79,68,8,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8,8,8,8,8
406,80,44,24,0,0,0,0,0,0,0,0,0,4,10,14,18,21,23,24,24,24,24,24
407,80,50,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
408,80,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
409,80,67,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2
